,CNTR_NAME,ISO3,Gas,Component,Year,Data
0,Albania,ALB,CH4,Total,2002,12457856.0
1,Albania,ALB,CH4,Total,2003,12544515.0
2,Albania,ALB,CH4,Total,2004,12291472.0
3,Albania,ALB,CH4,Total,2005,122365.0
4,Albania,ALB,CH4,Total,2006,12104035.0
5,Albania,ALB,CH4,Total,2007,11648205.0
6,Albania,ALB,CH4,Total,2008,11005555.0
7,Albania,ALB,CH4,Total,2009,10592838.0
8,Albania,ALB,CH4,Total,2010,10701519.0
9,Albania,ALB,CH4,Total,2011,10535353.0
10,Albania,ALB,CH4,Total,2012,10762588.0
11,Albania,ALB,CH4,Total,2013,10855003.0
12,Albania,ALB,CH4,Total,2014,11107388.0
13,Albania,ALB,CH4,Total,2015,11211608.0
14,Albania,ALB,CH4,Total,2016,11081511.0
15,Albania,ALB,CH4,Total,2017,1099362.0
16,Albania,ALB,CH4,Total,2018,10895069.0
17,Albania,ALB,CH4,Total,2019,10219491.0
18,Albania,ALB,CH4,Total,2020,10446497.0
19,Albania,ALB,CH4,Total,2021,10369044.0
20,Albania,ALB,CO2,Total,2002,282005866666667.0
21,Albania,ALB,CO2,Total,2003,355848566666667.0
22,Albania,ALB,CO2,Total,2004,323625733333333.0
23,Albania,ALB,CO2,Total,2005,446903966666667.0
24,Albania,ALB,CO2,Total,2006,366644833333333.0
25,Albania,ALB,CO2,Total,2007,465734333333333.0
26,Albania,ALB,CO2,Total,2008,554509633333333.0
27,Albania,ALB,CO2,Total,2009,4882872.0
28,Albania,ALB,CO2,Total,2010,4967065.0
29,Albania,ALB,CO2,Total,2011,551008933333333.0
30,Albania,ALB,CO2,Total,2012,519203333333333.0
31,Albania,ALB,CO2,Total,2013,540959933333333.0
32,Albania,ALB,CO2,Total,2014,615843133333333.0
33,Albania,ALB,CO2,Total,2015,498083033333333.0
34,Albania,ALB,CO2,Total,2016,465640366666667.0
35,Albania,ALB,CO2,Total,2017,553972233333333.0
36,Albania,ALB,CO2,Total,2018,4874125.0
37,Albania,ALB,CO2,Total,2019,481313833333333.0
38,Albania,ALB,CO2,Total,2020,4545359.0
39,Albania,ALB,CO2,Total,2021,4399269.0
40,Albania,ALB,N2O,Total,2002,45401609.0
41,Albania,ALB,N2O,Total,2003,45870222.0
42,Albania,ALB,N2O,Total,2004,43842897.0
43,Albania,ALB,N2O,Total,2005,44283268.0
44,Albania,ALB,N2O,Total,2006,42916312.0
45,Albania,ALB,N2O,Total,2007,41930792.0
46,Albania,ALB,N2O,Total,2008,39648766.0
47,Albania,ALB,N2O,Total,2009,39122832.0
48,Albania,ALB,N2O,Total,2010,38867563.0
49,Albania,ALB,N2O,Total,2011,40375832.0
50,Albania,ALB,N2O,Total,2012,40210048.0
51,Albania,ALB,N2O,Total,2013,39383809.0
52,Albania,ALB,N2O,Total,2014,4003087.0
53,Albania,ALB,N2O,Total,2015,4134908.0
54,Albania,ALB,N2O,Total,2016,4237776.0
55,Albania,ALB,N2O,Total,2017,414301.0
56,Albania,ALB,N2O,Total,2018,3763861.0
57,Albania,ALB,N2O,Total,2019,37862697.0
58,Albania,ALB,N2O,Total,2020,38801544.0
59,Albania,ALB,N2O,Total,2021,38591165.0
60,Bosnia and Herzegovina,BIH,CH4,Total,2002,12317741.0
61,Bosnia and Herzegovina,BIH,CH4,Total,2003,13557775.0
62,Bosnia and Herzegovina,BIH,CH4,Total,2004,13860912.0
63,Bosnia and Herzegovina,BIH,CH4,Total,2005,14277142.0
64,Bosnia and Herzegovina,BIH,CH4,Total,2006,15294597.0
65,Bosnia and Herzegovina,BIH,CH4,Total,2007,1477209.0
66,Bosnia and Herzegovina,BIH,CH4,Total,2008,15401508.0
67,Bosnia and Herzegovina,BIH,CH4,Total,2009,1540124.0
68,Bosnia and Herzegovina,BIH,CH4,Total,2010,1513998.0
69,Bosnia and Herzegovina,BIH,CH4,Total,2011,15818247.0
70,Bosnia and Herzegovina,BIH,CH4,Total,2012,15339261.0
71,Bosnia and Herzegovina,BIH,CH4,Total,2013,15132818.0
72,Bosnia and Herzegovina,BIH,CH4,Total,2014,17891623.0
73,Bosnia and Herzegovina,BIH,CH4,Total,2015,18305.0
74,Bosnia and Herzegovina,BIH,CH4,Total,2016,19121986.0
75,Bosnia and Herzegovina,BIH,CH4,Total,2017,19214273.0
76,Bosnia and Herzegovina,BIH,CH4,Total,2018,20398921.0
77,Bosnia and Herzegovina,BIH,CH4,Total,2019,19524192.0
78,Bosnia and Herzegovina,BIH,CH4,Total,2020,19982521.0
79,Bosnia and Herzegovina,BIH,CH4,Total,2021,20382025.0
80,Bosnia and Herzegovina,BIH,CO2,Total,2002,14575641.0
81,Bosnia and Herzegovina,BIH,CO2,Total,2003,145168933333333.0
82,Bosnia and Herzegovina,BIH,CO2,Total,2004,14949494.0
83,Bosnia and Herzegovina,BIH,CO2,Total,2005,15533024.0
84,Bosnia and Herzegovina,BIH,CO2,Total,2006,163731133333333.0
85,Bosnia and Herzegovina,BIH,CO2,Total,2007,166560386666667.0
86,Bosnia and Herzegovina,BIH,CO2,Total,2008,190548623333333.0
87,Bosnia and Herzegovina,BIH,CO2,Total,2009,19914214.0
88,Bosnia and Herzegovina,BIH,CO2,Total,2010,203518373333333.0
89,Bosnia and Herzegovina,BIH,CO2,Total,2011,230162756666667.0
90,Bosnia and Herzegovina,BIH,CO2,Total,2012,216822806666667.0
91,Bosnia and Herzegovina,BIH,CO2,Total,2013,214468623333333.0
92,Bosnia and Herzegovina,BIH,CO2,Total,2014,194339193333333.0
93,Bosnia and Herzegovina,BIH,CO2,Total,2015,19229931.0
94,Bosnia and Herzegovina,BIH,CO2,Total,2016,225975546666667.0
95,Bosnia and Herzegovina,BIH,CO2,Total,2017,227302006666667.0
96,Bosnia and Herzegovina,BIH,CO2,Total,2018,225025026666667.0
97,Bosnia and Herzegovina,BIH,CO2,Total,2019,21176777.0
98,Bosnia and Herzegovina,BIH,CO2,Total,2020,214336956666667.0
99,Bosnia and Herzegovina,BIH,CO2,Total,2021,142136176666667.0
100,Bosnia and Herzegovina,BIH,N2O,Total,2002,31280535.0
101,Bosnia and Herzegovina,BIH,N2O,Total,2003,3001938.0
102,Bosnia and Herzegovina,BIH,N2O,Total,2004,36814682.0
103,Bosnia and Herzegovina,BIH,N2O,Total,2005,35396028.0
104,Bosnia and Herzegovina,BIH,N2O,Total,2006,36114931.0
105,Bosnia and Herzegovina,BIH,N2O,Total,2007,36327853.0
106,Bosnia and Herzegovina,BIH,N2O,Total,2008,34851589.0
107,Bosnia and Herzegovina,BIH,N2O,Total,2009,45634499.0
108,Bosnia and Herzegovina,BIH,N2O,Total,2010,44740075.0
109,Bosnia and Herzegovina,BIH,N2O,Total,2011,49821973.0
110,Bosnia and Herzegovina,BIH,N2O,Total,2012,52353231.0
111,Bosnia and Herzegovina,BIH,N2O,Total,2013,49908323.0
112,Bosnia and Herzegovina,BIH,N2O,Total,2014,5228804.0
113,Bosnia and Herzegovina,BIH,N2O,Total,2015,541367.0
114,Bosnia and Herzegovina,BIH,N2O,Total,2016,502895.0
115,Bosnia and Herzegovina,BIH,N2O,Total,2017,5000904.0
116,Bosnia and Herzegovina,BIH,N2O,Total,2018,4608639.0
117,Bosnia and Herzegovina,BIH,N2O,Total,2019,48578469.0
118,Bosnia and Herzegovina,BIH,N2O,Total,2020,5508806.0
119,Bosnia and Herzegovina,BIH,N2O,Total,2021,5625765.0
120,Bulgaria,BGR,CH4,Total,2002,38301265.0
121,Bulgaria,BGR,CH4,Total,2003,38773129.0
122,Bulgaria,BGR,CH4,Total,2004,38563639.0
123,Bulgaria,BGR,CH4,Total,2005,37879708.0
124,Bulgaria,BGR,CH4,Total,2006,37694276.0
125,Bulgaria,BGR,CH4,Total,2007,37762654.0
126,Bulgaria,BGR,CH4,Total,2008,37028023.0
127,Bulgaria,BGR,CH4,Total,2009,36109357.0
128,Bulgaria,BGR,CH4,Total,2010,35486557.0
